Group,Team,Venue_1,Venue_2,Venue_3
A,2,Munich,Cologne,Stuttgart
A,3,Cologne,Stuttgart,Stuttgart
A,4,Cologne,Cologne,Frankfurt
B,1,Berlin,Gelsenkirchen,Düsseldorf
B,2,Berlin,Hamburg,Leipzig
B,3,Dortmund,Hamburg,Leipzig
B,4,Dortmund,Hamburg,Düsseldorf
C,1,Stuttgart,Munich,Cologne
C,2,Stuttgart,Frankfurt,Munich
C,3,Gelsenkirchen,Munich,Munich
C,4,Gelsenkirchen,Frankfurt,Cologne
D,1,Hamburg,Berlin,Dortmund
D,2,Hamburg,Leipzig,Berlin
D,3,Düsseldorf,Berlin,Berlin
D,4,Düsseldorf,Leipzig,Dortmund
E,1,Frankfurt,Cologne,Stuttgart
E,2,Frankfurt,Düsseldorf,Frankfurt
E,3,Munich,Cologne,Frankfurt
E,4,Munich,Düsseldorf,Stuttgart
F,1,Dortmund,Dortmund,Hamburg
F,2,Dortmund,Hamburg,Gelsenkirchen
F,3,Leipzig,Dortmund,Gelsenkirchen
F,4,Leipzig,Hamburg,Hamburg
